neutral,selected
999614078.0,999684980.0
39208.462317287565,35105.510197703494
19306.175028686925,15409.110109799429
12718.189773375532,9276.606655703106
9464.024865417192,6458.134099515745
7539.701434729694,4894.924944482994
6269.283424703115,3919.1034516177942
5365.563608302496,3260.5638355851574
4689.826745098876,2791.7614068396942
4167.305253066455,2443.6534904704286
3752.600833859735,2174.6966139684414
3415.0581512612853,1958.2697278693129
3132.849750812639,1777.123134750607
2890.776110422279,1620.8619850604302
2679.1827115809074,1484.2959572738193
2492.9619430811463,1365.192022805844
2330.7756116995906,1261.6890940010383
2194.350764607277,1171.3790507652993
2087.2727299535545,1093.0036320887834
2012.133457917232,1028.637941573878
64516.58527219981,34083.51861599331
