neutral,selected
999753860.0,999832474.0
21399.46143956164,15858.852925759113
11574.76655449344,7861.622802824642
8307.101645868788,5400.96657230853
6635.048112603743,4186.918173741576
5589.908929255072,3455.2897172191338
4862.622595840123,2964.525696434077
4323.6896487531185,2610.0096650512414
3904.5014020425565,2337.0326208747956
3563.0460335295597,2114.6798986148074
3274.0293050327605,1926.0741150245867
3024.3365104606187,1763.1334532564347
2808.139125345427,1622.3439779818323
2622.0013173506695,1501.2693198541492
2462.0925416128666,1396.4559507317506
2324.2279913028005,1303.2391805312266
2204.654614909955,1217.7258766034342
2098.768585815001,1140.5545136782978
2000.0964049491834,1078.6868515355943
1905.8890059801836,1035.7696236527886
70914.35259176957,36811.62112993569
