fst,chunk
0.180576,0
0.163131,1
0.160463,2
0.13888,3
0.14223,4
0.13911,5
0.140301,6
0.152014,7
0.202408,8
0.159695,9
0.143145,10
0.147997,11
0.135562,12
0.143925,13
0.168181,14
0.144571,15
0.140581,16
0.160588,17
0.139425,18
0.163265,19
0.136779,20
0.125713,21
0.163074,22
0.167539,23
0.150887,24
0.157833,25
0.168248,26
0.130134,27
0.172491,28
0.170773,29
0.158017,30
0.139751,31
0.130926,32
0.173583,33
0.176801,34
0.153928,35
0.142884,36
0.15993,37
0.161215,38
0.140346,39
0.142064,40
0.158255,41
0.169398,42
0.14334,43
0.155089,44
0.153106,45
0.150429,46
0.154117,47
0.15126,48
0.158207,49
0.15663,50
0.135439,51
0.136278,52
0.148118,53
0.141253,54
0.166611,55
0.16813,56
0.172015,57
0.128996,58
0.17914,59
0.158077,60
0.159604,61
0.10863,62
0.139387,63
0.151965,64
0.163796,65
0.149467,66
0.167655,67
0.160154,68
0.145324,69
0.132051,70
0.152007,71
0.154899,72
0.155419,73
0.147385,74
0.148332,75
0.172326,76
0.135201,77
0.158703,78
0.171953,79
0.160872,80
0.157634,81
0.161854,82
0.173494,83
0.13908,84
0.125178,85
0.207708,86
0.159194,87
0.154888,88
0.138248,89
0.144928,90
0.145897,91
0.12258,92
0.166321,93
0.143434,94
0.167158,95
0.158291,96
0.157148,97
0.136936,98
0.135404,99
0.15303357,mean
0.015821522543071165,std
