fst,chunk
0.419964,0
0.425521,1
0.387172,2
0.396049,3
0.45052,4
0.377913,5
0.38354,6
0.387413,7
0.479877,8
0.454935,9
0.471878,10
0.433077,11
0.421311,12
0.48704,13
0.376594,14
0.410041,15
0.444028,16
0.416051,17
0.446206,18
0.43619,19
0.402006,20
0.411514,21
0.399764,22
0.37994,23
0.454987,24
0.418026,25
0.365249,26
0.385496,27
0.457211,28
0.407573,29
0.410809,30
0.417254,31
0.458104,32
0.397552,33
0.401286,34
0.452429,35
0.41547,36
0.412889,37
0.449379,38
0.388412,39
0.435614,40
0.428516,41
0.402425,42
0.421866,43
0.421603,44
0.383178,45
0.362465,46
0.387442,47
0.394457,48
0.350351,49
0.444554,50
0.463815,51
0.444983,52
0.429946,53
0.377902,54
0.373072,55
0.430447,56
0.424088,57
0.413191,58
0.443182,59
0.403343,60
0.449789,61
0.447381,62
0.436019,63
0.365192,64
0.374012,65
0.362729,66
0.443405,67
0.340906,68
0.419729,69
0.411214,70
0.433113,71
0.381454,72
0.413776,73
0.417905,74
0.403933,75
0.353764,76
0.476698,77
0.409357,78
0.449259,79
0.400273,80
0.421672,81
0.399277,82
0.433479,83
0.421406,84
0.445303,85
0.355528,86
0.392771,87
0.422513,88
0.407025,89
0.45995,90
0.43895,91
0.375618,92
0.484944,93
0.356606,94
0.386475,95
0.459358,96
0.400532,97
0.418768,98
0.442431,99
0.41539623999999997,mean
0.03261351586866333,std
