neutral,selected
4412696.258701003,12427639.741299
5657.0,11720.0
1429.0,2494.0
771.0,1414.0
608.0,1023.0
473.0,830.0
389.0,655.0
367.0,617.0
336.0,513.0
293.0,459.0
245.0,414.0
264.0,383.0
220.0,353.0
235.0,333.0
189.0,339.0
181.0,318.0
177.0,263.0
189.0,244.0
172.0,243.0
165.0,245.0
144.0,201.0
116.0,188.0
115.0,159.0
107.0,157.0
124.0,171.0
111.0,140.0
95.0,151.0
109.0,135.0
103.0,139.0
100.0,125.0
85.0,122.0
85.0,128.0
73.0,125.0
69.0,118.0
92.0,121.0
84.0,137.0
115.0,106.0
104.0,156.0
121.0,178.0
251.0,353.0
1257.0,1547.0
